Ano,Distrito,Incêndios florestais(Ocorrencias),Fogachos(Ocorrencias),Total(Ocorrencias),Reacendimentos,Povoamentos(Area Ardida),Matos(Area Ardida),Total Florestal(Area Ardida)
2012,Viseu,503,1667,2170,340,6438,9007,15445
2012,Portugal,4425,16751,21176,1856,48067,62165,110232
2013,Aveiro,155,1214,1369,307,2503,721,3224
2013,Beja,22,38,60,0,460,117,577
2013,Braga,655,1409,2064,249,4083,7942,12025
2013,Bragança,194,251,445,20,5106,17991,23097
2013,Castelo Branco,47,308,355,3,1616,1503,3119
2013,Coimbra,48,644,692,36,2037,1147,3184
2013,Évora,29,6,35,0,242,49,291
2013,Faro,17,233,250,1,18,512,530
2013,Guarda,213,223,436,30,2683,7135,9818
2013,Leiria,48,293,341,23,498,1831,2329
2013,Lisboa,183,1009,1192,1,137,767,904
2013,Portalegre,23,49,72,0,694,94,788
2013,Porto,720,5312,6032,574,5924,8163,14087
2013,Santarém,49,320,369,1,484,152,636
2013,Setúbal,38,582,620,11,240,240,480
2013,Viana do Castelo,504,1272,1776,432,3347,9104,12451
2013,Vila Real,446,807,1253,184,9449,13760,23209
2013,Viseu,454,1476,1930,401,16152,25857,42009
2013,Portugal,3845,15446,19291,2273,55673,97085,152758
2014,Aveiro,28,445,473,29,90,223,313
2014,Beja,26,22,48,0,569,26,595
2014,Braga,108,485,593,77,389,377,766
2014,Bragança,126,247,373,7,248,2026,2274
2014,Castelo Branco,24,178,202,1,155,149,304
2014,Coimbra,24,181,205,11,1168,134,1302
2014,Évora,21,11,32,0,407,0,407
2014,Faro,27,147,174,6,199,557,756
2014,Guarda,153,194,347,13,1315,3991,5306
2014,Leiria,19,204,223,11,50,34,84
2014,Lisboa,61,697,758,0,34,247,281
2014,Portalegre,18,30,48,0,1579,910,2489
2014,Porto,67,1344,1411,41,942,420,1362
2014,Santarém,27,250,277,3,132,117,249
2014,Setúbal,28,400,428,4,163,197,360
2014,Viana do Castelo,67,288,355,28,488,441,929
2014,Vila Real,155,338,493,6,476,601,1077
2014,Viseu,90,537,627,43,324,751,1075
2014,Portugal,1069,5998,7067,280,8728,11201,19929
